1.144339941540235654e-02,1.178242627905589229e-01,1.890099620210375364e-01,2.051162235787715171e-01,4.196575928098467134e-02,3.739237636952933569e-02,7.646497385218030407e-02,9.296892088047563341e-02,1.441709252152472420e-01,9.942136764033326533e-06,4.564434988367700036e-02,3.798890457537133780e-02
6.066423140002981038e-03,6.384188161622185442e-02,2.634467720292231752e-01,1.333494856120471042e-02,7.204226927091098021e-02,2.438776651259877415e-01,7.157633815416727940e-02,1.911249440882659828e-02,1.209650365289995366e-01,9.234754733860145795e-03,6.085992246906217484e-02,5.564149396153272864e-02
2.120545833711124858e-02,6.042025568954573905e-02,2.492406383171638096e-01,1.372517907335206976e-02,1.937052316619820302e-01,8.807462145253422414e-02,8.150104270559434261e-02,1.133375646024118230e-05,1.539237464865354788e-01,1.893870704506301489e-02,4.443965908060567432e-02,7.481412639405203568e-02
1.025174889543446072e-02,2.721258284241531156e-01,1.999838917525773030e-01,3.303341310751104626e-02,2.440399484536082131e-02,1.296828976435935032e-01,6.617037923416789480e-02,3.004188144329896989e-02,1.406134941089837720e-01,5.879510309278350444e-03,2.659011413843887645e-02,6.122284609720176490e-02
2.260408174940289894e-02,1.117761473663134025e-01,2.439967963844910381e-01,3.211481529154331521e-02,6.629624862344646319e-02,1.257919652178887404e-01,4.641667024213040615e-02,1.023297721714506309e-02,1.694126228171793647e-01,4.512235236910227404e-03,4.548704967034224167e-02,1.213583901832067519e-01
3.726487637525138698e-03,1.176336380997447945e-01,2.780162579642054266e-01,3.811833499518345325e-02,2.814723428706629796e-02,1.391813557316928796e-01,6.084906457555221138e-02,1.207601696777137329e-01,1.323367866015446592e-01,3.726487637525138698e-03,2.451369758834564400e-02,5.299048520390056000e-02
1.809540215484840842e-02,9.952862691054872868e-02,2.310746053620646168e-01,3.524336006013530087e-02,3.626127536958155539e-02,1.571582936607366365e-01,1.363301804059132982e-01,1.136150087697318858e-02,1.511291029817088405e-01,1.104829616637434050e-02,4.792815083938862381e-02,6.484120521172638540e-02
2.152064178835406526e-03,1.253042184964845707e-01,2.441747791599062356e-01,2.288399134667387647e-02,5.341851451234901765e-02,5.758743464936001005e-02,5.803812871822606329e-02,1.716130340724715819e-01,1.922322877230935312e-01,1.126735172165134335e-05,2.648954389760230579e-02,4.609473589327564569e-02
1.577314908210611030e-02,1.742611458543473490e-01,2.075474077062739175e-01,9.999747831349606320e-02,3.355103893483962069e-02,1.617787976598749067e-01,6.318085535606213221e-02,1.777788985273350518e-03,1.239535001008674475e-01,2.534294936453500117e-03,4.010742384506758157e-02,7.553711922533790091e-02
1.530875938062061827e-02,5.293460958012032036e-02,2.612205660416365149e-01,2.192429348163155503e-02,9.180087242355956800e-02,6.802629674805150961e-02,7.371152136610778505e-02,6.109032271402286413e-03,1.484463831634657005e-01,6.212399991730581730e-03,1.873126460069049481e-01,6.699261954476855296e-02
